cluster,cluster_name,word,frequency,where
6,Competitive Loss,sport game loss,1,Situation
6,Competitive Loss,sport games,1,Situation
6,Competitive Loss,sporting defeat,1,Situation
6,Competitive Loss,sporting event loss,1,Situation
6,Competitive Loss,sporting games,1,Association
6,Competitive Loss,sporting teams' league records,1,Association
6,Competitive Loss,sports and games,1,Association
6,Competitive Loss,sports and teams,1,Association
6,Competitive Loss,sports bet,1,Situation
6,Competitive Loss,sports club,1,Association
6,Competitive Loss,sports defeats,1,Association
6,Competitive Loss,sports game defeat,1,Situation
6,Competitive Loss,sports games,1,Association
6,Competitive Loss,sports games.,1,Association
6,Competitive Loss,sports loss,1,Association
6,Competitive Loss,sports match defeat,1,Situation
6,Competitive Loss,sports record,1,Association
6,Competitive Loss,sports result,1,Situation
6,Competitive Loss,sports team,1,Association
6,Competitive Loss,sports team loses,1,Situation
6,Competitive Loss,sports teams win and losses.,1,Association
6,Competitive Loss,sports wins vs losses statistics,1,Association
6,Competitive Loss,state  wins,1,Association
6,Competitive Loss,staying in state,1,Situation
6,Competitive Loss,striking out,1,Association
6,Competitive Loss,striking out(baseball),1,Association
6,Competitive Loss,swimming,1,Situation
6,Competitive Loss,swinging too fast,1,Situation
6,Competitive Loss,table tennis,1,Situation
6,Competitive Loss,take the l,1,Association
6,Competitive Loss,taking the l,1,Association
6,Competitive Loss,team lose game,1,Situation
6,Competitive Loss,team loses again,1,Situation
6,Competitive Loss,team loses games,1,Situation
6,Competitive Loss,team loses title,1,Situation
6,Competitive Loss,team loses too,1,Situation
6,Competitive Loss,team loses tournament,1,Situation
6,Competitive Loss,team losing streak,1,Situation
6,Competitive Loss,team loss game,1,Situation
6,Competitive Loss,team losses,1,Association
6,Competitive Loss,team lost,1,Situation
6,Competitive Loss,team lost finals,1,Situation
